"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"55576",594.744939051003,-4.03993112720434,0.187054705305958,2.13805361300136e-104,1.57052866196628e-101,"stabilin 2","ENSG00000136011"
"100506229",895.070785885708,-4.59067046385928,0.315305073925897,9.2145865703622e-70,2.03875503347146e-67,"long intergenic non-protein coding RNA 1093","ENSG00000249173"
"143425",61.973888779918,-2.91987723573539,0.203013713148438,3.30027191572043e-69,7.13014040709293e-67,"synaptotagmin 9","ENSG00000170743"
"3781",166.787597839162,-4.4106057945342,0.253571589412714,7.40085427009668e-69,1.56217572202363e-66,"potassium calcium-activated channel subfamily N member 2","ENSG00000080709"
"7054",60.4477529226488,-5.64981866607348,0.335910235005294,5.40539240727801e-65,1.01290434864544e-62,"tyrosine hydroxylase","ENSG00000180176"
"5745",733.686599078133,-3.82397728710442,0.23185288369065,3.11009814774085e-62,5.33774227898252e-60,"parathyroid hormone 1 receptor","ENSG00000160801"
"79722",39.7998279790791,-3.24457397844068,0.198899301370202,1.29192355334072e-60,2.09954726845567e-58,"ankyrin repeat domain 55","ENSG00000164512"
"162239",524.169792371563,-2.50872504438575,0.155192447473112,1.00924770447633e-59,1.5706631224579e-57,"ZFP1 zinc finger protein","ENSG00000184517"
"4502",16555.3351377589,-3.14676523612246,0.233945038493973,7.6104913017183e-57,1.06686307072332e-54,"metallothionein 2A","ENSG00000125148"
"8547",1259.97702256577,-4.75114995282436,0.3076871033354,5.14321002947363e-55,6.79495748066574e-53,"ficolin 3","ENSG00000142748"
"83394",116.121212410861,-3.18659147323522,0.209306636812336,2.29391521857921e-53,2.84631480229653e-51,"PITPNM family member 3","ENSG00000091622"
"4886",240.945714309245,-3.15549410908474,0.244758413972518,2.42622577052509e-50,2.75032160801992e-48,"neuropeptide Y receptor Y1","ENSG00000164128"
"7433",815.033727435985,-3.86718569800096,0.262814502515606,3.44126593486623e-50,3.85337851389533e-48,"vasoactive intestinal peptide receptor 1","ENSG00000114812"
"2954",1245.75548843436,-2.5231693744564,0.171339646329037,3.73180339455773e-50,4.1533840931914e-48,"glutathione S-transferase zeta 1","ENSG00000100577"
"4501",6119.06241781853,-3.08909204784681,0.269201747100052,5.98958739143924e-50,6.54718945573752e-48,"metallothionein 1X","ENSG00000187193"
"2220",910.762645828697,-5.06759626562934,0.348788886635625,4.50190955292321e-49,4.77879000172727e-47,"ficolin 2","ENSG00000160339"
"285189",386.436871381024,-3.04080742975559,0.209081959472412,4.74056136641836e-49,5.00319936396016e-47,"plasminogen like A (pseudogene)",NA
"123879",513.344360514198,-1.54906538278726,0.106852807585489,2.01525139214174e-48,2.05600425362727e-46,"defective in cullin neddylation 1 domain containing 3","ENSG00000188215"
