"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"3833",328.615211949348,4.42519679369074,0.166495324860767,1.46351360342648e-156,2.68759638133239e-152,"kinesin family member C1","ENSG00000237649"
"991",363.445839396864,5.17791885102954,0.201026995534988,1.80081851351371e-147,1.65351155910829e-143,"cell division cycle 20","ENSG00000117399"
"55143",164.624005925764,4.01827712737758,0.157677147830052,2.13612970653716e-144,1.30759619769494e-140,"cell division cycle associated 8","ENSG00000134690"
"146909",238.657704793752,4.65278283921126,0.183234815846864,3.0258011094395e-143,1.38914528934367e-139,"kinesin family member 18B","ENSG00000186185"
"891",393.283545452921,4.09110279281993,0.170201073836563,1.43758249224398e-128,5.2799529775137e-125,"cyclin B1","ENSG00000134057"
"1033",165.272798622975,4.46822706574258,0.189240665265044,2.73937930478915e-124,8.38432692552465e-121,"cyclin dependent kinase inhibitor 3","ENSG00000100526"
"24137",205.706737495397,4.93642257801523,0.211400530791362,1.45018256560109e-121,3.80445037638548e-118,"kinesin family member 4A","ENSG00000090889"
"11004",232.897174484181,4.52083932856132,0.194307980467853,3.6069015705036e-121,8.27964255509101e-118,"kinesin family member 2C","ENSG00000142945"
"9232",262.698622248839,4.16844752257653,0.180779099675268,4.99975872862504e-119,1.02017299213856e-115,"PTTG1 regulator of sister chromatid separation, securin","ENSG00000164611"
"9055",373.680804531571,3.65230304529895,0.159745454030362,5.48695456299623e-117,1.00762433594863e-113,"protein regulator of cytokinesis 1","ENSG00000198901"
"995",80.7864977275325,4.27607405892118,0.188296542927604,2.02895173060814e-115,3.38724268917162e-112,"cell division cycle 25C","ENSG00000158402"
"10403",172.032809435396,3.55171600583787,0.156678234639193,5.51330599292963e-115,8.43719593784664e-112,"NDC80 kinetochore complex component","ENSG00000080986"
"9133",175.35407286155,4.2947966331279,0.189588944786356,1.35553424754367e-114,1.778073637278e-111,"cyclin B2","ENSG00000157456"
"147841",149.530637738046,4.0003450665327,0.176641819832599,1.2814491454016e-114,1.778073637278e-111,"SPC24 component of NDC80 kinetochore complex","ENSG00000161888"
"83540",166.397422017689,4.55047849334122,0.20145697275115,2.49898906281978e-114,3.05942900997484e-111,"NUF2 component of NDC80 kinetochore complex","ENSG00000143228"
"4751",140.822724260822,5.1809639102104,0.230701179727611,5.03545387342918e-112,5.77944218322834e-109,"NIMA related kinase 2","ENSG00000117650"
"113130",218.241692325419,4.33204806983115,0.194184650798075,2.43378289396772e-111,2.62905818028372e-108,"cell division cycle associated 5","ENSG00000146670"
"10024",310.091712711005,4.315371728658,0.194433034290406,1.0445256197313e-110,1.06564824893031e-107,"trophinin associated protein","ENSG00000135451"
"4605",439.805317522499,5.08092995154591,0.22960035229631,9.10134331969415e-110,8.79668782751913e-107,"MYB proto-oncogene like 2","ENSG00000101057"
"9833",138.617837017449,4.34419112033193,0.198416035566077,1.59675129604211e-107,1.46613704002586e-104,"maternal embryonic leucine zipper kinase","ENSG00000165304"
"51512",206.304010961242,3.59108417425919,0.16491794310218,5.12331307766418e-107,4.48021530277262e-104,"G2 and S-phase expressed 1","ENSG00000075218"
"10112",222.86728259326,3.51886617576781,0.162550335852826,2.25829196328299e-105,1.88505789153313e-102,"kinesin family member 20A","ENSG00000112984"
"1058",71.2948236505335,4.75035123125242,0.218923773424416,4.40599105578333e-105,3.51789651080022e-102,"centromere protein A","ENSG00000115163"
"4288",733.774322586204,4.14918518927563,0.191994258858208,8.47976259004449e-105,6.48843167514904e-102,"marker of proliferation Ki-67","ENSG00000148773"
"1063",542.607784891904,4.59528147724405,0.213487629792526,3.32075496502674e-104,2.34547477606735e-101,"centromere protein F","ENSG00000117724"
"6241",449.293777640622,3.69540693993291,0.173771246978049,2.03121877271754e-101,1.38152968674759e-98,"ribonucleotide reductase regulatory subunit M2","ENSG00000171848"
