Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR3129836,RNA-Seq,200,9394635600,PRJNA310012,SAMN04445017,6650542412,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549983,GSM2049057,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T14:45:00Z,1,GSM2049057,Liver,SRP068976,liver
SRR3129837,RNA-Seq,200,7244671200,PRJNA310012,SAMN04445018,5135814420,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549984,GSM2049058,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T14:45:00Z,1,GSM2049058,Liver,SRP068976,liver
SRR3129838,RNA-Seq,200,8235904200,PRJNA310012,SAMN04445019,5812752794,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549985,GSM2049059,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T15:09:00Z,1,GSM2049059,Liver,SRP068976,liver
SRR3129839,RNA-Seq,200,8528394800,PRJNA310012,SAMN04445020,6052299212,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549986,GSM2049060,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T14:56:00Z,1,GSM2049060,Liver,SRP068976,liver
SRR3129840,RNA-Seq,200,6748758800,PRJNA310012,SAMN04445021,4787838431,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549987,GSM2049061,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T14:57:00Z,1,GSM2049061,Liver,SRP068976,liver
SRR3129841,RNA-Seq,200,6922945000,PRJNA310012,SAMN04445022,4908675135,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549988,GSM2049062,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T14:58:00Z,1,GSM2049062,Liver,SRP068976,liver
SRR3129842,RNA-Seq,200,5962346600,PRJNA310012,SAMN04445023,4207025903,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549989,GSM2049063,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T15:20:00Z,1,GSM2049063,Liver,SRP068976,liver
SRR3129843,RNA-Seq,200,6019400600,PRJNA310012,SAMN04445026,4249566502,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549992,GSM2049066,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T15:15:00Z,1,GSM2049066,Liver,SRP068976,liver
SRR3129844,RNA-Seq,200,6456648000,PRJNA310012,SAMN04445024,4430039610,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549990,GSM2049064,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T15:06:00Z,1,GSM2049064,Liver,SRP068976,liver
SRR3129845,RNA-Seq,200,5509733400,PRJNA310012,SAMN04445025,3818613408,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Normal,SRX1549991,GSM2049065,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-03T00:00:00Z,2016-02-01T15:11:00Z,1,GSM2049065,Liver,SRP068976,liver
