"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","107/1868","380/14467",0.281578947368421,2.18072946016004,8.98105939909532,9.64805532456019e-16,6.94659983368334e-13,6.94659983368334e-13,"KMT5C/DNMT1/CHEK2/H4C11/H4C15/INCENP/CENPH/ZWILCH/ORC1/SKA3/KIF18A/PARP1/RAD51/RANGAP1/MCM4/DSCC1/SPC24/CDK1/MSH2/CENPA/PCNA/CCNB1/EZH2/CHEK1/SMARCB1/NSMCE2/CBX1/NDC80/HJURP/SKA1/PIF1/BUB1/CENPF/RAD21/KNL1/MCM6/CENPI/CENPK/SUV39H1/ESCO2/NHP2/H4C14/MCM2/SGO2/MTBP/PRKDC/NEK2/NLRP2/SPAG5/SPC25/SPDL1/PPP2R1A/TOP2A/NUF2/SMARCA4/CENPU/BUB1B/MCM7/SGO1/CENPE/BLM/FEN1/CENPL/SMC4/OIP5/CDC20/MAD2L1/RAD51AP1/CENPQ/MCM5/DYNC1I1/ALYREF/NCAPD2/MACROH2A2/NUP37/DNMT3A/POLD1/H4C12/KNSTRN/CENPM/KNTC1/BIRC5/AURKB/NCAPG/CDCA5/NDE1/XRCC6/CDT1/MIS18A/H2AX/ERCC6L/ZWINT/DCLRE1B/KIF2C/DSN1/TTK/XRCC1/CDCA8/AURKA/MCM3/PLK1/RECQL4/ITGB3BP/HELLS/SUV39H2/CENPW/NABP2",107
"GO:0000793","condensed chromosome","77/1868","257/14467",0.299610894941634,2.32038052308384,8.22362428734155,3.44470167463048e-13,1.24009260286697e-10,1.24009260286697e-10,"KMT5C/INCENP/CENPH/ZWILCH/SKA3/KIF18A/RAD51/RANGAP1/NCAPH/SPC24/CENPA/CCNB1/CHEK1/SMARCB1/NSMCE2/NDC80/HJURP/SKA1/CDCA2/TUBG1/BUB1/CENPF/RAD21/KNL1/CENPI/CENPK/SUV39H1/FANCD2/SGO2/MTBP/NEK2/SPAG5/SPC25/SPDL1/TOP2A/NUF2/SMARCA4/CENPU/BUB1B/SGO1/CENPE/RRS1/HSPA2/BLM/SMC4/HMGB2/CDC20/MAD2L1/CENPQ/DYNC1I1/NCAPD2/NCAPG2/NUP37/KNSTRN/CENPM/KNTC1/BIRC5/AURKB/NCAPG/P3H4/NDE1/CDT1/H2AX/ERCC6L/MKI67/ZWINT/KIF2C/DSN1/NCAPH2/TTK/TUBA1A/AURKA/PLK1/ITGB3BP/BRCA1/CENPW/RCC1",77
"GO:0000775","chromosome, centromeric region","72/1868","245/14467",0.293877551020408,2.27597780011362,7.75604735172744,5.65757760130252e-12,1.35781862431261e-09,1.35781862431261e-09,"KMT5C/DNMT1/INCENP/CENPH/ZWILCH/SKA3/KIF18A/RANGAP1/DSCC1/SPC24/CENPA/CCNB1/EZH2/SMARCB1/CBX1/NDC80/HJURP/SKA1/BUB1/CENPF/RAD21/KNL1/CENPI/CENPK/SUV39H1/ESCO2/SGO2/MTBP/NEK2/SPAG5/SPC25/SPDL1/PPP2R1A/TOP2A/NUF2/SMARCA4/CENPU/BUB1B/SGO1/CENPE/CENPL/SMC4/OIP5/CDC20/MAD2L1/CENPQ/DYNC1I1/NCAPD2/NUP37/DNMT3A/KNSTRN/CENPM/KNTC1/BIRC5/AURKB/NCAPG/CDCA5/NDE1/CDT1/MIS18A/ERCC6L/ZWINT/KIF2C/DSN1/TTK/CDCA8/AURKA/PLK1/ITGB3BP/HELLS/SUV39H2/CENPW",72
"GO:0000940","outer kinetochore","15/1868","20/14467",0.75,5.80848501070664,8.28569716894688,3.59991258195346e-10,6.47984264751623e-08,6.47984264751623e-08,"SKA3/SPC24/CCNB1/NDC80/SKA1/BUB1/CENPF/KNL1/SPC25/SPDL1/NUF2/BUB1B/ZWINT/DSN1/PLK1",15
"GO:0000228","nuclear chromosome","59/1868","203/14467",0.29064039408867,2.25090716342655,6.91109816608976,7.46136270639737e-10,1.07443622972122e-07,1.07443622972122e-07,"POLA1/VPS72/INCENP/ORC1/PARP1/RAD51/MCM4/NCAPH/RUVBL2/POLA2/BRMS1/PCNA/GINS3/CHEK1/SMARCB1/RAD51C/GINS1/TUBG1/MCM10/POLE2/RAD21/MCM6/HLTF/SUV39H1/MCM2/NEK2/GINS4/TOP2A/MCM7/MMS22L/RRS1/TONSL/EME1/HSPA2/BLM/SMC4/PRIM2/MCM5/E2F1/NCAPD2/FIGNL1/NCAPG2/MACROH2A2/POLD1/BIRC5/NCAPG/P3H4/GINS2/ORC6/ANP32E/WDHD1/H2AX/PRIM1/NCAPH2/MCM3/PLK1/BRCA1/TIMELESS/RCC1",59
"GO:0071162","CMG complex","10/1868","10/14467",1,7.74464668094218,8.21513570486279,1.26140682982368e-09,1.42079311867517e-07,1.42079311867517e-07,"MCM4/GINS3/GINS1/MCM6/MCM2/GINS4/MCM7/MCM5/GINS2/MCM3",10
"GO:0000779","condensed chromosome, centromeric region","54/1868","181/14467",0.298342541436464,2.31055757331977,6.83179297427187,1.38132664315642e-09,1.42079311867517e-07,1.42079311867517e-07,"KMT5C/INCENP/CENPH/ZWILCH/SKA3/KIF18A/RANGAP1/SPC24/CENPA/CCNB1/SMARCB1/NDC80/HJURP/SKA1/BUB1/CENPF/KNL1/CENPI/CENPK/SGO2/MTBP/NEK2/SPAG5/SPC25/SPDL1/NUF2/SMARCA4/CENPU/BUB1B/SGO1/CENPE/CDC20/MAD2L1/CENPQ/DYNC1I1/NCAPD2/NUP37/KNSTRN/CENPM/KNTC1/BIRC5/AURKB/NCAPG/NDE1/CDT1/ERCC6L/ZWINT/KIF2C/DSN1/TTK/AURKA/PLK1/ITGB3BP/CENPW",54
"GO:0031261","DNA replication preinitiation complex","11/1868","12/14467",0.916666666666667,7.09925945753034,8.13866760573301,1.71630201720631e-09,1.54467181548568e-07,1.54467181548568e-07,"MCM4/GINS3/GINS1/MCM6/CDC45/MCM2/GINS4/MCM7/MCM5/GINS2/MCM3",11
"GO:0005819","spindle","96/1868","411/14467",0.233576642335766,1.80896856781131,6.40643335528474,2.8741910312824e-09,2.29935282502592e-07,2.29935282502592e-07,"KIF14/ECT2/UHRF1/INCENP/SACK1D/POC1A/CTTN/ZWILCH/MAP1S/SKA3/TUBB3/KIF18A/RANGAP1/KIF4A/UNC119/KIF23/MAPRE1/WDR62/CDK1/TACC3/CEP250/CDC6/CCNB1/KIF15/DLGAP5/KIFC1/TUBB2A/CBX1/TUBB4B/FAM110A/SKA1/DIAPH3/KPNA7/ASPM/HAUS5/DDX11/TUBG1/CENPF/RAD21/KIF11/ESPL1/NUSAP1/HAUS1/NPM1/TPX2/PSRC1/SHCBP1/NEK2/SPAG5/SPDL1/FBF1/BUB1B/YEATS2/SGO1/CENPE/RACGAP1/HSPA2/ARHGEF2/TUBB4A/CAPG/CLTA/TUBB/MAD2L2/CDC7/SNCG/CDC20/CKAP2/MAD2L1/HMMR/DYNC1I1/TUBB2B/CKAP2L/KIF18B/PRC1/RAB11FIP4/KNSTRN/KNTC1/MAP7D1/BIRC5/AURKB/NDE1/LIMK2/TMEM201/SAC3D1/KIF2C/HASPIN/DSN1/TTK/CDCA8/AURKA/PLK1/DYNLT2B/HSPB1/KIF20A/MZT1/RPS3",96
"GO:0000776","kinetochore","51/1868","171/14467",0.298245614035088,2.30980690484241,6.63426307990509,3.98579950061489e-09,2.86977564044272e-07,2.86977564044272e-07,"INCENP/CENPH/ZWILCH/SKA3/KIF18A/RANGAP1/SPC24/CENPA/CCNB1/SMARCB1/NDC80/HJURP/SKA1/BUB1/CENPF/KNL1/CENPI/CENPK/SGO2/MTBP/NEK2/SPAG5/SPC25/SPDL1/NUF2/SMARCA4/CENPU/BUB1B/SGO1/CENPE/CDC20/MAD2L1/CENPQ/DYNC1I1/NUP37/KNSTRN/CENPM/KNTC1/BIRC5/AURKB/NDE1/CDT1/ERCC6L/ZWINT/KIF2C/DSN1/TTK/AURKA/PLK1/ITGB3BP/CENPW",51
