"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","90/1068","266/9048",0.338345864661654,2.8664357523021,11.3029972699819,6.73355874747989e-22,1.09622336408973e-18,1.09622336408973e-18,"4173/5708/79682/4175/1062/5347/898/11200/554313/57405/54908/3014/8318/990/672/5984/10926/8370/55055/84515/995/4085/57082/147841/64105/64326/11130/2810/63967/64946/9134/983/891/220134/151246/83540/5905/79980/54821/23594/7533/91687/4172/83990/5600/11004/51512/22919/9133/4998/8317/9156/1029/641/4176/116028/332/1780/55388/9088/580/3619/151648/5692/8362/9212/7534/55166/51529/11065/1111/27338/10403/23421/1063/701/5982/55143/1058/993/699/10213/991/81930/4171/2491/79019/9735/890/4174",90
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","55/1068","123/9048",0.447154471544715,3.78825248926647,11.389824118305,3.41892476974957e-20,2.78300476257615e-17,2.78300476257615e-17,"347733/79682/7280/1062/5347/5885/57405/54908/55055/4085/57082/147841/10382/64105/11130/80086/64946/983/891/220134/151246/83540/5905/79980/54821/113130/91687/7846/11004/22919/9133/10381/332/1780/3619/151648/7277/10376/9212/55166/10383/113457/10403/23421/1063/701/55143/1058/699/991/81930/2491/79019/9735/84790",55
"R-HSA-9648025","EML4 and NUDC in mitotic spindle formation","50/1068","113/9048",0.442477876106195,3.74863279307945,10.7558600503059,3.15875556244491e-18,1.71415135188677e-15,1.71415135188677e-15,"347733/79682/7280/1062/5347/57405/54908/55055/4085/57082/147841/10382/64105/11130/80086/64946/220134/151246/83540/5905/79980/54821/91687/7846/11004/22919/10381/332/1780/3619/151648/7277/10376/9212/55166/10383/113457/10403/23421/1063/701/55143/1058/699/991/81930/2491/79019/9735/84790",50
"R-HSA-195258","RHO GTPase Effectors","83/1068","276/9048",0.300724637681159,2.54771209900668,9.55282634398844,1.03183134268489e-16,4.19955356472751e-14,4.19955356472751e-14,"347733/79682/7280/1062/5347/1072/554313/57405/54908/389/3014/29941/8370/3012/55055/995/4085/57082/147841/10382/64105/8338/147700/11113/11130/2810/80086/64946/114822/220134/151246/83540/5905/79980/54821/7533/91687/128239/5600/7846/11004/10092/22919/6279/10095/3985/4688/10381/3984/332/1780/3619/151648/81624/7277/10376/723790/8362/8353/9212/7534/8337/55166/6280/10383/9055/113457/10403/2316/23421/1063/701/55143/1058/699/991/5585/81930/2491/79019/9735/9928/84790",83
"R-HSA-68877","Mitotic Prometaphase","67/1068","200/9048",0.335,2.83808988764045,9.61602674237418,2.62897418467572e-16,8.55993994530415e-14,8.55993994530415e-14,"347733/79682/7280/1062/5347/5885/57405/54908/440145/115106/4751/55055/9814/4085/57082/147841/10382/64105/11130/10733/80086/64946/11190/983/891/10051/220134/151246/83540/5905/79980/54821/7283/113130/91687/203068/23397/7846/11004/22919/9133/10381/332/1780/3619/151648/64151/7277/10376/9212/55166/10383/113457/10403/23421/1063/22994/701/55143/1058/699/991/81930/2491/79019/9735/84790",67
"R-HSA-5663220","RHO GTPases Activate Formins","52/1068","136/9048",0.382352941176471,3.23925974884336,9.62548928145877,1.26378934290977e-15,3.4290817504285e-13,3.4290817504285e-13,"347733/79682/7280/1062/5347/57405/54908/389/55055/4085/57082/147841/10382/64105/11130/80086/64946/220134/151246/83540/5905/79980/54821/91687/7846/11004/22919/10381/332/1780/3619/151648/81624/7277/10376/9212/55166/10383/113457/10403/23421/1063/701/55143/1058/699/991/81930/2491/79019/9735/84790",52
"R-HSA-68882","Mitotic Anaphase","69/1068","219/9048",0.315068493150685,2.66923195320917,9.1478590507911,3.29850845985595e-15,7.67138824663641e-13,7.67138824663641e-13,"347733/5708/79682/7280/1062/55706/5347/5885/57405/54908/55055/4085/57082/147841/10382/64105/4000/11130/80086/64946/983/891/220134/151246/83540/5905/79980/54821/113130/91687/7846/11004/22919/9133/9631/7443/10381/332/1780/3619/151648/5692/7277/10376/9212/9232/55166/1104/5901/51529/10383/11065/113457/27338/10403/23421/1063/701/55143/1058/699/10213/991/81930/2491/79019/9735/4001/84790",69
"R-HSA-2555396","Mitotic Metaphase and Anaphase","69/1068","220/9048",0.313636363636364,2.65709908069459,9.10259311775211,4.27271481038553e-15,8.69497463913456e-13,8.69497463913456e-13,"347733/5708/79682/7280/1062/55706/5347/5885/57405/54908/55055/4085/57082/147841/10382/64105/4000/11130/80086/64946/983/891/220134/151246/83540/5905/79980/54821/113130/91687/7846/11004/22919/9133/9631/7443/10381/332/1780/3619/151648/5692/7277/10376/9212/9232/55166/1104/5901/51529/10383/11065/113457/27338/10403/23421/1063/701/55143/1058/699/10213/991/81930/2491/79019/9735/4001/84790",69
"R-HSA-2467813","Separation of Sister Chromatids","59/1068","174/9048",0.339080459770115,2.87265917602996,9.1245221704091,9.05342258860837e-15,1.63766355269494e-12,1.63766355269494e-12,"347733/5708/79682/7280/1062/5347/5885/57405/54908/55055/4085/57082/147841/10382/64105/11130/80086/64946/220134/151246/83540/5905/79980/54821/113130/91687/7846/11004/22919/10381/332/1780/3619/151648/5692/7277/10376/9212/9232/55166/51529/10383/11065/113457/27338/10403/23421/1063/701/55143/1058/699/10213/991/81930/2491/79019/9735/84790",59
"R-HSA-68886","M Phase","94/1068","360/9048",0.261111111111111,2.21210986267166,8.58558327739504,1.88447647941403e-14,3.06792770848605e-12,3.06792770848605e-12,"347733/5708/79682/7280/1062/55706/5347/5885/554313/57405/10112/54908/440145/3014/115106/8370/4751/3012/55055/9814/29781/4085/57082/147841/10382/64105/8338/4000/11130/10733/80086/64946/11190/983/891/10051/220134/151246/83540/5905/79980/54821/7283/113130/91687/203068/23397/7846/11004/22919/9133/9631/7443/10381/332/1780/3619/151648/5692/64151/7277/10376/723790/8362/8353/9212/9232/8337/55166/1104/5901/51529/10383/11065/113457/9493/27338/10403/23421/1063/22994/701/55143/1058/699/10213/991/81930/2491/79019/9735/54892/4001/84790",94
